"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, , item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,lod_min,lod_max,channel,type,probability,loop,masterslave,loadspec,subtitle

#AHZ_TANK Sounds,,,,,,,,,,,,,,,,,
ahzil,,vehicles/tank_01_idle.wav,0,,1,,200,1500,,,,,,looping,,,
ahzil2,,vehicles/tank_02_idle.wav,0,,1,,300,3500,,,,,,looping,,,
ahzih,,vehicles/tank_01_idle.wav,0.75,,1,,200,1500,,,,,,looping,,,
ahzih2,,vehicles/tank_02_idle.wav,0.75,,1,,300,3500,,,,,,looping,,,
ahzel,,vehicles/tank_01_move.wav,0,,1,,400,4500,,,,,,looping,,,
ahzel2,,vehicles/tank_02_move.wav,0,,1,,400,4500,,,,,,looping,,,
ahzeh,,vehicles/tank_01_move.wav,1.5,,1,,400,4500,,,,,,looping
ahzeh2,,vehicles/tank_02_move.wav,1.5,,1,,400,4500,,,,,,looping
ahzf,,vehicles/tank_fire_01.wav,1.4,1.4,1,,500,5000,,,,,,
ahzf1,1,weapons/flak/flak88_fire02.wav,1.25,1.25,0.9,1.1,500,5000,,,,,,
ahzf1,2,weapons/flak/flak88_fire03.wav,1.25,1.25,0.9,1.1,500,5000,,,,,,
ahztsp,,vehicles/turret_spin_01.wav,1.25,,,,200,700,,,,,,looping
ahz2tsp,,misc/crank_rotate.wav,1,1,,,200,700,,,,,,looping
ahztst,,vehicles/turret_end_01.wav,,,,,200,700,,,,,,

ahz3il,,vehicles/truck_idle.wav,2,,0.75,,150,2000,,,voice,,,looping
ahz3ih,,vehicles/truck_idle.wav,2.25,,1,,150,2000,,,voice,,,looping
ahz3el,,vehicles/truck_move.wav,2,,0.75,,350,5000,,,voice,,,looping
ahz3eh,,vehicles/truck_move.wav,2.25,,1,,350,5000,,,voice,,,looping
ahz3hl,,vehicles/gazhl.wav,2,,1,,500,4000,,,voice,,,looping
ahz3he,,vehicles/jeep_horn_end.wav,2,,1,,500,4000,,,auto,,,
ahzhl,,vehicles/bahl.wav,2,,1,,500,4000,,,voice,,,looping
ahz4hl,,vehicles/sdkhl.wav,2,,1,,500,4000,,,voice,,,looping

ahzf5,,explosions/mortar_launch.wav,1.05,1.2,0.8,1.1,300,1200,,,auto,,,
ahzl,,explosions/mortar_load.wav,1.05,1.2,0.8,1.1,1000,1200,,,auto,,,
